City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Lujan,AR,-34.5703,-59.105,61.0,99,100,7.0,light rain
200,Kenai,US,60.5544,-151.2583,53.6,37,1,8.05,clear sky
201,Bandarbeyla,SO,9.4942,50.8122,82.71,74,94,5.57,overcast clouds
202,Pisco,PE,-13.7,-76.2167,68.0,77,0,9.22,clear sky
203,Sur,OM,22.5667,59.5289,85.69,34,0,8.28,clear sky
204,Gigmoto,PH,13.7796,124.39,79.63,83,98,4.34,overcast clouds
205,Miquelon,PM,47.0975,-56.3814,37.72,79,28,29.21,scattered clouds
206,Ancud,CL,-41.8697,-73.8203,53.01,82,0,6.91,clear sky
207,Catabola,AO,-12.15,17.2833,64.54,67,100,3.49,overcast clouds
208,Alta Floresta,BR,-9.8756,-56.0861,72.63,93,12,2.24,light rain
209,Cayenne,GF,4.9333,-52.3333,77.0,94,75,2.3,moderate rain
210,Valparaiso,CL,-33.0393,-71.6273,62.6,77,75,6.91,broken clouds
211,Bac Lieu,VN,9.285,105.7244,79.74,81,100,5.66,overcast clouds
212,Salalah,OM,17.0151,54.0924,82.4,74,40,4.61,scattered clouds
213,Axim,GH,4.8699,-2.2405,82.31,82,98,8.34,overcast clouds
214,Ilulissat,GL,69.2167,-51.1,35.6,64,100,5.75,overcast clouds
215,Caravelas,BR,-17.7125,-39.2481,74.84,83,31,6.04,scattered clouds
216,Oceanside,US,33.1959,-117.3795,66.2,63,40,10.36,scattered clouds
217,Kualakapuas,ID,-3.0091,114.3876,73.4,94,40,2.3,scattered clouds
218,Porbandar,IN,21.6422,69.6093,80.44,80,97,9.28,overcast clouds
219,West Bay,KY,19.3667,-81.4167,84.2,74,40,10.36,scattered clouds
220,Margate,GB,51.3813,1.3862,45.0,77,36,1.99,scattered clouds
221,Nabire,ID,-3.3667,135.4833,79.48,84,72,2.08,broken clouds
222,Bethel,US,41.3712,-73.414,62.6,19,1,14.97,clear sky
223,Vanavara,RU,60.34,102.2797,31.24,90,100,1.07,overcast clouds
224,Ust-Kulom,RU,61.6864,53.6902,37.9,93,19,4.21,few clouds
225,Haines Junction,CA,60.7522,-137.5108,50.0,23,8,4.61,clear sky
226,Severo-Kurilsk,RU,50.6789,156.125,36.63,90,96,7.87,overcast clouds
227,Pacific Grove,US,36.6177,-121.9166,60.8,55,75,12.66,broken clouds
228,Lebu,CL,-37.6167,-73.65,53.83,92,26,7.29,scattered clouds
229,Port Keats,AU,-14.25,129.55,75.78,37,93,7.99,overcast clouds
230,Srednekolymsk,RU,67.45,153.6833,12.25,92,100,18.03,light snow
231,Tayga,RU,56.06,85.6197,28.4,46,0,4.47,clear sky
232,Tilichiki,RU,60.4667,166.1,25.29,80,46,3.51,scattered clouds
233,Soyo,AO,-6.1349,12.3689,78.35,88,95,2.15,overcast clouds
234,Tieling,CN,42.2931,123.8414,54.81,75,100,8.05,overcast clouds
235,Swan River,CA,52.1058,-101.2676,37.4,30,100,11.5,overcast clouds
236,Boditi,ET,6.9667,37.8667,58.71,92,100,3.44,moderate rain
237,Maneadero,MX,31.7167,-116.5667,64.99,74,4,5.01,clear sky
238,Grand Gaube,MU,-20.0064,57.6608,78.01,80,99,1.01,light rain
239,Teya,RU,60.3778,92.6267,21.45,97,60,0.94,broken clouds
240,Ciudad Guayana,VE,8.3533,-62.6528,84.0,70,86,3.0,overcast clouds
241,Diego De Almagro,CL,-26.3667,-70.05,58.51,59,0,4.7,clear sky
242,Tornio,FI,65.8481,24.1466,32.0,100,90,17.27,light snow
243,Kununurra,AU,-15.7667,128.7333,69.8,68,63,5.75,broken clouds
244,Canavieiras,BR,-15.675,-38.9472,75.07,86,26,4.88,scattered clouds
245,Bathsheba,BB,13.2167,-59.5167,80.6,61,40,16.11,scattered clouds
246,Pangody,RU,65.85,74.4859,33.89,99,100,10.02,overcast clouds
247,Barabai,ID,-2.5833,115.3833,73.65,93,44,1.03,scattered clouds
248,Bilibino,RU,68.0546,166.4372,22.12,82,99,3.53,overcast clouds
249,Jiangyou,CN,31.7667,104.7167,64.54,85,95,0.63,overcast clouds
250,Zhuji,CN,29.7188,120.2423,66.2,88,40,4.47,mist
251,Amga,RU,60.8953,131.9608,24.71,86,100,9.55,overcast clouds
252,Hithadhoo,MV,-0.6,73.0833,81.95,73,8,7.85,clear sky
253,Brigantine,US,39.4101,-74.3646,60.8,27,1,17.27,clear sky
254,Savannah Bight,HN,16.45,-85.85,86.0,70,40,11.5,scattered clouds
255,Macheng,CN,31.1783,115.0319,60.21,84,97,9.8,overcast clouds
256,Bielsko-Biala,PL,49.8224,19.0469,37.99,1,50,5.88,scattered clouds
257,Georgetown,MY,5.4112,100.3354,78.8,94,40,5.75,moderate rain
258,Scarborough,GB,54.2797,-0.4044,46.0,56,100,4.56,overcast clouds
259,Nsanje,MW,-16.92,35.262,66.29,92,0,2.04,clear sky
260,Manokwari,ID,-0.8667,134.0833,80.58,76,100,1.63,overcast clouds
261,Kolvereid,NO,64.8655,11.6047,32.0,93,75,8.05,light snow
262,Ribeira Grande,PT,38.5167,-28.7,57.2,82,40,27.63,scattered clouds
263,Lompoc,US,34.6391,-120.4579,61.0,59,0,13.8,clear sky
264,Muisne,EC,0.6,-80.0333,84.2,79,75,5.75,broken clouds
265,Santa Cruz De Tenerife,ES,28.4682,-16.2546,66.99,100,90,17.27,overcast clouds
266,Praia,CV,14.9215,-23.5087,69.8,73,20,17.27,few clouds
267,Chuy,UY,-33.6971,-53.4616,66.69,84,14,13.0,few clouds
268,Luderitz,NA,-26.6481,15.1594,63.81,77,44,8.61,scattered clouds
269,Atambua,ID,-9.1061,124.8925,74.03,80,24,3.74,few clouds
270,Richmond,US,37.5538,-77.4603,62.6,25,90,11.5,overcast clouds
271,Mnogovershinnyy,RU,53.9353,139.9242,28.62,63,4,6.02,clear sky
272,Turayf,SA,31.6725,38.6637,75.2,25,0,13.8,clear sky
273,Ixtapa,MX,20.7,-105.2,82.4,65,20,16.11,few clouds
274,Puyang,CN,29.4603,119.8861,64.31,89,28,3.22,scattered clouds
275,Point Pleasant,US,40.0832,-74.0682,61.0,31,21,7.0,few clouds
276,Teguise,ES,29.0605,-13.564,69.8,68,20,10.36,few clouds
277,Callaway,US,30.153,-85.5699,72.0,68,75,10.36,broken clouds
278,Mezen,RU,65.8522,44.24,42.78,81,100,9.69,overcast clouds
279,Dali,CN,25.7,100.1833,53.04,74,2,4.29,clear sky
280,Hit,IQ,33.6416,42.8251,77.38,15,75,10.56,broken clouds
281,Rzhaksa,RU,52.1338,42.0264,44.67,93,31,8.28,scattered clouds
282,Daru,PG,-9.0763,143.2092,83.79,72,29,5.44,scattered clouds
283,Khandyga,RU,62.6667,135.6,17.69,78,69,4.03,broken clouds
284,Kavaratti,IN,10.5669,72.642,83.35,73,15,7.81,few clouds
285,Kimbe,PG,-5.5502,150.1429,79.93,85,97,2.28,moderate rain
286,Yarmouth,US,41.7057,-70.2286,54.0,50,1,19.57,clear sky
287,Concarneau,FR,47.875,-3.9225,59.0,41,0,10.36,clear sky
288,Tasiilaq,GL,65.6145,-37.6368,35.6,60,75,4.61,broken clouds
289,Khorinsk,RU,52.1657,109.7726,33.03,43,100,5.12,overcast clouds
290,Ruidoso,US,33.3317,-105.673,57.99,23,1,18.41,clear sky
291,Whitehaven,GB,54.549,-3.5841,52.0,46,100,5.57,overcast clouds
292,Westport,US,41.1415,-73.3579,62.6,20,1,16.11,clear sky
293,Kampene,CD,-3.6,26.6667,69.15,98,100,1.7,light rain
294,Fengrun,CN,39.8333,118.1167,57.74,69,67,8.77,broken clouds
295,Lubbock,US,33.6001,-101.8338,80.6,8,40,26.46,scattered clouds
296,Sadat,IN,25.6833,83.2833,81.27,21,58,2.44,broken clouds
297,Dandong,CN,40.1292,124.3947,56.07,70,100,5.12,overcast clouds
298,Iglesias,IT,39.3114,8.535,53.6,82,20,3.44,few clouds
299,Churapcha,RU,62.0025,132.4325,21.99,88,100,8.03,overcast clouds
300,College,US,64.8569,-147.8028,57.2,30,20,9.22,few clouds
301,Pacifica,US,37.6138,-122.4869,59.0,87,90,5.75,mist
302,Maceio,BR,-9.6658,-35.7353,75.2,94,0,3.44,clear sky
303,Napier,NZ,-39.4833,176.9167,69.01,53,4,8.01,clear sky
304,Port Lincoln,AU,-34.7333,135.8667,61.18,69,80,5.91,broken clouds
305,Beloha,MG,-25.1667,45.05,69.89,76,16,10.29,few clouds
306,Palembang,ID,-2.9167,104.7458,75.2,88,20,2.3,haze
307,Gorodishche,RU,48.8045,44.4744,48.2,81,0,4.47,clear sky
308,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,40,9.22,light rain
309,Lexington,US,37.9887,-84.4777,57.2,47,75,10.36,broken clouds
310,Hailar,CN,49.2,119.7,37.51,24,100,5.59,overcast clouds
311,Lunenburg,CA,44.3835,-64.3155,48.2,49,94,24.16,overcast clouds
312,Deputatskiy,RU,69.3,139.9,7.77,85,24,2.3,few clouds
313,Waycross,US,31.2136,-82.354,75.2,43,1,14.97,clear sky
314,Maniitsoq,GL,65.4167,-52.9,32.9,72,12,5.3,few clouds
315,Wilmington,US,34.2257,-77.9447,66.2,34,1,13.8,clear sky
316,Bloemfontein,ZA,-29.1211,26.214,55.15,32,14,6.29,few clouds
317,Luanda,AO,-8.8368,13.2343,77.0,88,75,5.75,broken clouds
318,Tautira,PF,-17.7333,-149.15,87.8,58,75,11.5,light rain
319,Xingyi,CN,24.1877,102.817,61.32,53,0,4.03,clear sky
320,Tungor,RU,53.3808,142.9564,31.15,69,78,7.56,broken clouds
321,Asau,RO,46.4333,26.4,37.0,67,38,3.15,scattered clouds
322,Ilo,PE,-17.6394,-71.3375,66.74,77,10,6.6,clear sky
323,Dingle,PH,10.9995,122.6711,80.08,76,100,4.21,light rain
324,Yeniseysk,RU,58.4497,92.1703,28.6,89,66,3.27,broken clouds
325,Yuscaran,HN,13.9333,-86.85,82.0,47,40,4.61,scattered clouds
326,Souillac,MU,-20.5167,57.5167,78.8,78,40,9.22,light rain
327,Shelburne,CA,44.0787,-80.2041,60.8,29,26,6.91,scattered clouds
328,Aklavik,CA,68.2191,-135.0107,37.4,48,75,3.44,broken clouds
329,Moth,IN,25.7167,78.95,84.45,16,86,3.87,overcast clouds
330,Sipe Sipe,BO,-17.45,-66.3833,69.8,35,75,17.27,broken clouds
331,Sinnamary,GF,5.3833,-52.95,77.5,88,100,12.26,heavy intensity rain
332,Pokrovsk,UA,48.282,37.1758,48.33,83,100,9.26,overcast clouds
333,Yarega,RU,63.4354,53.5765,38.97,87,61,4.88,broken clouds
